ScenarioID,ParallelShift,VolShock,CorrShock,EURUSD_PnL,USDJPY_PnL,GBPUSD_PnL,PortfolioPnL
1,0.007477,0.047435,-0.005085,-47135.91,-12006.44,-16290.94,-75433.29
2,0.009984,-0.015458,-0.022252,-67806.11,-23561.05,-19792.7,-111159.86
3,0.017714,0.02456,0.02129,-105268.35,-37015.49,-30672.66,-172956.5
4,-0.003975,-0.015789,-0.028162,31602.99,2908.07,4799.5,39310.56
5,0.02012,0.006809,0.003554,-118486.89,-46873.73,-37796.98,-203157.6
6,-0.004449,-0.045168,-0.001499,31791.22,13510.27,9363.34,54664.83
7,-0.009943,-0.018748,-0.012939,61769.5,17147.29,20629.04,99545.83
8,0.000106,-0.011212,0.009685,1977.24,3132.99,-1672.5,3437.73
9,0.004027,-0.045559,-0.003803,-25528.31,-7993.71,-6786.72,-40308.74
10,0.008018,-0.029849,0.003633,-54466.94,-8076.19,-15777.59,-78320.72
11,-0.007007,0.044132,-0.008589,51062.21,15172.77,11384.98,77619.96
12,-0.007528,-0.039442,-0.007846,49332.06,13312.22,12879.48,75523.76
13,-0.010941,0.037795,0.018947,70289.32,20695.9,19393.44,110378.66
14,0.012654,0.074333,-0.028055,-73614.68,-26757.35,-22101.75,-122473.78
15,0.005047,-0.024048,0.021934,-25113.34,-6215.11,-12469.82,-43798.27
16,-0.002297,-0.096762,-0.015306,3058.9,6173.6,4434.66,13667.16
17,-0.004326,-0.039557,0.006281,23483.03,5846.24,5122.43,34451.7
18,-0.002038,-0.029115,-0.007685,15952.19,7170.55,6447.79,29570.53
19,0.000601,0.017379,0.003777,-12271.7,-2371.97,-1776.58,-16420.25
20,-0.005108,-0.002047,-0.00439,28858.29,10273.99,7610.04,46742.32
21,-0.026192,-0.069853,0.001778,191146.21,47722.49,43834.04,282702.74
22,0.004315,0.04391,-0.008402,-31039.57,-5401.4,-5915.11,-42356.08
23,0.008586,-0.023403,0.022274,-63876.78,-14637.3,-15073.02,-93587.1
24,0.001289,-0.047263,-0.036281,-7804.8,-1053.43,-838.07,-9696.3
25,0.005948,0.018408,-0.018476,-34027.26,-15597.22,-8135.02,-57759.5
26,-0.00084,-0.002535,0.017319,10482.03,4075.54,-179.63,14377.94
27,0.007627,-0.040739,0.015758,-55390.59,-16297.1,-14912.23,-86599.92
28,0.008699,0.055758,0.00398,-54012.5,-16156.12,-12894.65,-83063.27
29,0.000373,-0.024984,0.012945,-11715.73,1945.42,-2069.59,-11839.9
30,-0.002402,0.045803,-0.00831,18981.7,8461.51,4400.03,31843.24
31,0.003114,-0.005972,0.002312,-25607.9,-7421.63,-7995.61,-41025.14
32,-0.008988,-0.100147,0.005279,68695.39,17505.79,17568.82,103770.0
33,0.011257,-0.059957,-0.019676,-65364.88,-23916.57,-22168.63,-111450.08
34,-0.006369,0.020983,-0.015879,28435.77,12408.01,10599.37,51443.15
35,9.2e-05,0.062944,0.00107,615.16,2972.86,-139.85,3448.17
36,0.021365,-0.063185,-0.018683,-125533.43,-41104.0,-37577.05,-204214.48
37,-0.010106,0.088049,-0.015847,69683.7,25165.5,16701.6,111550.8
38,-0.006221,-0.027684,0.018031,46609.89,13165.86,14591.19,74366.94
39,0.00032,0.064617,-0.00864,9593.26,4039.1,-812.17,12820.19
40,0.014345,0.069199,0.031061,-101024.76,-27967.29,-23876.4,-152868.45
41,0.004711,0.010917,0.004956,-23704.76,-8274.12,-7762.86,-39741.74
42,0.011394,0.020901,0.010271,-61803.65,-25230.44,-22856.65,-109890.74
43,0.000724,0.010727,0.014431,-4155.27,745.72,3750.11,340.56
44,0.008015,0.048866,-0.002591,-57579.26,-23726.14,-14983.71,-96289.11
45,-0.025804,0.025677,-0.007656,176138.5,54580.43,43421.2,274140.13
46,0.004508,0.035381,-0.014037,-30029.66,-8821.61,-10657.59,-49508.86
47,0.002148,-0.071551,0.011314,-16034.49,-8820.59,-4897.6,-29752.68
48,-0.005377,0.053426,0.003466,30817.92,16238.37,10608.52,57664.81
49,-0.003363,-0.077692,-0.008492,21012.89,8169.87,7066.52,36249.28
50,0.008066,-0.080573,0.00417,-51762.12,-8904.29,-13905.14,-74571.55
51,-0.006227,0.005518,-0.000171,31399.58,14300.63,10213.05,55913.26
52,-0.000267,-0.043678,-0.021878,6130.94,3885.89,1300.62,11317.45
53,-0.018108,0.024153,-0.035919,121773.69,40623.42,32823.08,195220.19
54,0.00457,0.065645,0.0112,-39328.13,-10704.91,-8034.45,-58067.49
55,-0.001587,-0.030857,-0.020603,22378.63,2167.34,7465.31,32011.28
56,-0.011413,0.032853,0.004593,72504.85,22564.43,19828.19,114897.47
57,-0.008441,-0.012807,-0.047298,60028.36,21407.9,15596.36,97032.62
58,0.022643,0.034105,0.022856,-129449.52,-55802.46,-38550.75,-223802.73
59,-0.013829,-0.059045,-0.020139,92630.34,30993.01,24931.05,148554.4
60,-0.000126,0.036134,0.01567,3031.27,-4909.31,-1259.75,-3137.79
61,0.000263,0.036673,-0.026572,-1766.48,-5249.76,1593.73,-5422.51
62,0.002423,-0.067307,-0.027055,-13683.27,-964.9,-6410.41,-21058.58
63,0.007866,-0.027112,0.016464,-46321.13,-16052.79,-17355.69,-79729.61
64,0.006812,0.025101,0.008209,-42254.67,-16941.26,-9686.7,-68882.63
65,0.008981,-0.053771,0.026286,-55905.76,-18473.52,-15980.34,-90359.62
66,-0.00078,0.068545,0.020661,10142.49,2191.55,3135.43,15469.47
67,-0.008343,0.029172,-0.00307,45497.5,12762.27,13191.09,71450.86
68,0.004152,-0.033104,-0.011822,-22780.91,-10383.27,-4562.06,-37726.24
69,0.011651,0.001094,0.015069,-69592.44,-25204.59,-18549.88,-113346.91
70,0.010089,-0.047622,0.003071,-62575.88,-18638.08,-18442.61,-99656.57
71,-0.005978,0.00845,0.023627,33661.5,9478.55,9360.02,52500.07
72,-0.003426,-0.088279,0.029964,21880.03,6353.8,9206.12,37439.95
73,0.007178,-0.026771,0.003292,-45706.0,-10728.61,-12824.46,-69259.07
74,-0.014421,-0.093861,0.029503,94469.75,32293.89,25235.36,151999.0
75,-0.004167,-0.012992,0.031668,20232.85,7590.38,9062.92,36886.15
76,-0.012831,0.065864,0.017845,88467.94,25436.57,19503.59,133408.1
77,0.00707,0.137432,0.002918,-53963.4,-13475.41,-10582.07,-78020.88
78,-0.009179,-0.032276,-0.014948,58899.11,18758.41,14248.83,91906.35
79,-0.012358,0.008719,-0.003653,81584.66,26202.16,18463.23,126250.05
80,0.002632,-0.020784,0.00479,-14954.07,-2133.81,-4373.82,-21461.7
81,0.010667,-0.016096,-0.005484,-67231.11,-20078.72,-17298.99,-104608.82
82,0.001351,-0.061387,0.012261,-13045.65,-5584.2,-4627.22,-23257.07
83,-0.000832,0.060586,-0.019307,13814.41,4475.97,-1482.07,16808.31
84,-0.003828,-0.052013,0.013299,20269.23,3174.92,6008.84,29452.99
85,0.011694,-0.009626,0.007969,-70747.62,-29094.1,-22146.21,-121987.93
86,6.5e-05,-0.027868,0.034089,-6561.69,-2863.53,468.61,-8956.61
87,-0.006279,-0.144592,0.038694,36328.6,14868.44,8418.56,59615.6
88,-0.00863,-0.081147,-0.014824,54551.73,17726.04,14271.67,86549.44
89,-0.014415,-0.026195,0.02894,105016.2,31638.98,26408.64,163063.82
90,0.020608,0.028562,0.012884,-132220.67,-46615.17,-35923.7,-214759.54
91,-0.008074,-0.049898,-0.017649,46832.81,14582.13,14728.37,76143.31
92,0.017963,0.039849,0.012723,-117618.47,-37364.91,-31389.96,-186373.34
93,0.002907,-0.018034,0.033242,-18444.1,-5654.89,-8983.78,-33082.77
94,-0.001067,0.057463,0.011112,-3818.43,891.16,5319.96,2392.69
95,-0.001506,0.016121,0.03238,9069.63,5536.54,3443.94,18050.11
96,0.006251,0.018961,-0.010953,-41994.34,-15691.85,-14157.01,-71843.2
97,0.012445,0.000504,0.023883,-69582.66,-25974.88,-24281.8,-119839.34
98,-0.001962,-0.033557,-0.039603,10330.19,3905.34,2127.02,16362.55
99,-0.007715,-0.063877,0.003918,60836.16,20038.32,14732.14,95606.62
100,0.006754,-0.006632,-0.03609,-44722.35,-17091.42,-11442.73,-73256.5
101,0.012332,0.09867,0.001292,-85072.9,-25709.48,-21278.22,-132060.6
102,0.006788,-0.00096,0.00133,-46248.29,-15191.43,-10785.42,-72225.14
103,-0.020085,-0.015864,0.013758,147831.6,40983.15,37318.36,226133.11
104,0.0169,-0.019269,-0.011164,-104335.52,-35736.36,-27224.77,-167296.65
105,-0.007737,0.076903,-0.016015,45316.98,17819.56,15923.94,79060.48
106,0.001787,0.021754,0.039086,-5317.53,-3658.99,-3970.9,-12947.42
107,0.010951,0.041464,0.008372,-70115.8,-23225.41,-19349.06,-112690.27
108,-0.003104,-0.030057,0.005304,17159.13,7049.88,1200.67,25409.68
109,-0.005999,0.054916,-0.018009,42761.99,10145.51,11989.38,64896.88
110,-0.002971,-0.016832,0.001087,12793.56,9155.56,7776.56,29725.68
111,-0.0036,0.02621,0.015578,23237.41,4235.92,9452.71,36926.04
112,-0.003925,-0.030457,0.032776,28910.87,9015.25,4888.36,42814.48
113,0.008028,0.144826,0.01761,-48251.71,-14695.61,-14625.02,-77572.34
114,-0.003377,-0.017522,-0.011499,20441.59,6019.34,5385.75,31846.68
115,-0.002727,0.012151,0.001576,18728.18,10293.13,4898.07,33919.38
116,0.022109,0.017634,-0.008945,-125961.91,-46667.29,-43256.87,-215886.07
117,-4e-05,-0.012459,0.032131,-4227.59,-913.9,2604.93,-2536.56
118,0.003944,-0.008573,-0.01513,-23527.82,-8370.48,-8398.37,-40296.67
119,-0.007158,-0.040724,-0.019851,52353.18,17430.96,14327.08,84111.22
120,4.5e-05,-0.012131,-0.004488,4813.08,-5554.93,-1107.26,-1849.11
121,-0.008873,0.067994,-0.009549,51269.13,19304.53,14699.59,85273.25
122,-0.005569,-0.033002,-0.01399,40441.06,12366.87,9294.63,62102.56
123,-0.010982,-0.008445,0.005213,75592.59,23545.67,17264.17,116402.43
124,-0.024032,0.089981,-0.026193,159376.02,50858.26,38398.24,248632.52
125,-0.008048,0.027443,0.035454,55706.81,15583.3,13900.66,85190.77
126,-0.018086,-0.022538,-0.008996,125684.44,43806.87,27595.81,197087.12
127,-0.004077,-0.091675,-0.010067,22549.99,4078.19,8919.77,35547.95
128,0.002556,0.039793,-0.010633,-16823.63,-584.68,-4453.71,-21862.02
129,0.00808,-0.030873,0.01432,-53792.99,-22656.35,-14073.61,-90522.95
130,-0.004703,-0.081239,0.00383,26599.74,19154.29,5254.39,51008.42
131,-0.012129,0.043478,-0.00266,86396.3,26612.6,19940.28,132949.18
132,-0.013791,0.053554,-0.025769,96714.8,31717.94,23742.37,152175.11
133,-0.003041,-0.049186,0.009255,4748.08,8534.28,5531.12,18813.48
134,-0.002228,0.012115,-0.027471,2529.76,6084.85,6510.09,15124.7
135,-0.017394,-0.052624,0.015046,121663.0,45416.77,32416.91,199496.68
136,0.008354,-0.038189,0.010496,-45255.17,-18037.09,-14770.81,-78063.07
137,0.001414,-0.033225,0.005379,-7923.16,1471.54,-2838.34,-9289.96
138,0.006747,-0.007978,0.012795,-44083.32,-12448.88,-10283.81,-66816.01
139,-0.010667,0.055119,-0.00333,69543.61,20269.75,19156.22,108969.58
140,-4.6e-05,0.01854,0.007804,3343.38,8425.91,159.8,11929.09
141,-0.007346,-0.100991,-0.023906,55138.11,17585.81,10081.6,82805.52
142,0.024642,0.016338,0.009206,-135289.91,-46530.09,-41315.02,-223135.02
143,0.008292,0.046139,-0.004819,-50917.85,-15690.53,-14681.89,-81290.27
144,-0.009654,-0.013307,-0.019759,65171.21,14932.44,17480.38,97584.03
145,-0.016313,-0.020174,0.010082,115975.95,36273.84,29023.64,181273.43
146,-0.011193,0.04903,-0.021928,81044.38,25387.85,22193.16,128625.39
147,0.000249,-0.040938,-0.025853,-7522.96,-5432.56,1451.29,-11504.23
148,0.010674,0.027685,-0.000661,-56513.7,-22710.2,-18131.22,-97355.12
149,-0.000479,-0.016915,0.012619,-51.98,-1096.85,2195.56,1046.73
150,-0.004976,0.006674,-0.006827,32843.92,8429.91,7377.21,48651.04
151,-0.008197,0.042167,0.003438,59387.25,20290.53,13343.51,93021.29
152,0.008816,-0.000706,-0.003173,-49292.51,-16851.98,-16044.43,-82188.92
153,0.004888,-0.063286,0.004946,-38731.96,-13217.86,-7335.72,-59285.54
154,-0.026702,0.090126,0.01669,180416.31,63270.66,51810.49,295497.46
155,-0.001805,-0.046324,0.033726,10086.31,4273.44,5575.13,19934.88
156,-0.001535,-0.012053,-0.025448,6878.55,2441.43,193.97,9513.95
157,-0.011479,0.00168,-0.036994,73184.97,29940.43,19283.15,122408.55
158,-0.004707,-0.017497,-0.006683,33969.92,11399.79,7409.07,52778.78
159,-0.002138,0.065639,-0.030206,13714.41,4896.33,2167.41,20778.15
160,-0.001151,-0.045584,0.012743,822.67,5604.87,1856.77,8284.31
161,-0.00448,-0.050235,0.020613,26314.54,5906.97,9898.72,42120.23
162,-0.009043,-0.004724,0.016376,61409.65,24182.98,14065.02,99657.65
163,-0.002105,-0.006659,0.012425,20226.06,4641.59,3387.57,28255.22
164,-0.01483,0.005619,-0.013006,104435.0,29913.78,25322.78,159671.56
165,-0.014603,-0.090573,0.03722,100363.7,31878.63,23584.07,155826.4
166,0.008755,0.034757,-0.016049,-60481.84,-20583.58,-15290.68,-96356.1
167,0.001671,0.00192,0.025975,-14373.91,-6769.23,-2907.46,-24050.6
168,-0.016931,0.034787,0.001959,114810.03,34374.12,31279.67,180463.82
169,0.008781,-0.012319,0.011835,-51027.69,-17434.53,-15690.7,-84152.92
170,0.003812,-0.051954,0.001422,-25614.63,-9174.12,-10085.36,-44874.11
171,-0.010276,-0.024295,0.017901,70598.87,24398.58,20366.03,115363.48
172,0.003293,0.007015,-0.01946,-11227.74,-11169.02,-5492.51,-27889.27
173,0.008328,0.042337,-0.023102,-54670.95,-19885.64,-18451.57,-93008.16
174,0.001303,-0.035881,0.03011,-5357.15,-2612.66,-3213.08,-11182.89
175,0.001151,-0.012794,0.001391,2055.45,-5611.71,-2340.3,-5896.56
176,0.007064,-0.020007,0.031611,-41400.23,-16990.83,-11883.02,-70274.08
177,-0.007046,-0.039833,-0.002804,53235.44,17033.12,12215.04,82483.6
178,0.007812,0.013431,-0.023398,-50129.72,-16624.39,-12069.26,-78823.37
179,-0.005665,-0.045633,-0.000911,34315.46,10925.35,9694.83,54935.64
180,-0.00383,0.048159,0.028286,29542.55,2730.34,5381.02,37653.91
181,-0.001787,-0.092314,-0.017518,10727.05,2404.77,3125.85,16257.67
182,-0.013808,-0.023014,0.003038,94094.9,30338.08,24803.56,149236.54
183,-0.004071,0.006006,-0.016,25483.72,5382.39,9214.51,40080.62
184,-0.002735,0.053197,0.00623,13517.12,6496.7,6378.24,26392.06
185,-0.000776,0.003701,-0.011029,5176.81,2342.89,192.27,7711.97
186,-0.010793,0.064399,0.012082,70036.92,23324.19,15822.59,109183.7
187,-0.019771,0.054207,0.004591,137065.92,42216.46,40853.3,220135.68
188,0.008691,-0.052272,-0.033608,-49519.03,-15682.71,-13972.14,-79173.88
189,-0.008129,0.018164,-0.014467,57637.78,20018.43,13057.15,90713.36
190,0.011318,0.005743,0.009837,-77233.59,-23071.37,-21044.67,-121349.63
191,0.004746,0.073358,0.00579,-34848.58,-8087.9,-7455.04,-50391.52
192,0.020586,0.012698,-0.011709,-120420.76,-43613.67,-35659.17,-199693.6
193,-0.009285,-0.006122,0.000616,61648.85,17725.33,16731.94,96106.12
194,-0.009235,-0.05795,0.014191,65033.26,15470.11,12409.31,92912.68
195,-0.010087,-0.006415,0.023087,67094.02,18875.5,17849.28,103818.8
196,-0.00114,-0.06905,-0.027501,699.31,9833.89,3703.84,14237.04
197,-0.005937,0.055413,-0.011361,44760.57,12708.96,9012.96,66482.49
198,0.006798,0.006876,0.007965,-42070.94,-13661.18,-10227.77,-65959.89
199,0.025838,0.06244,0.004393,-154479.35,-54862.15,-47470.5,-256812.0
200,0.006645,-0.050746,-0.007449,-38849.95,-14667.39,-12547.63,-66064.97
201,-0.011975,0.060266,-0.016664,78133.28,19771.91,20796.44,118701.63
202,-0.003333,0.009093,-0.023493,25585.01,1481.56,5614.98,32681.55
203,0.001155,0.002889,0.003155,-3533.37,1548.84,-2320.71,-4305.24
204,-0.009678,0.028036,-0.005605,71340.49,18518.8,15124.44,104983.73
205,0.001438,-0.087021,-0.009349,-10949.27,-2358.25,-4494.56,-17802.08
206,-0.008795,0.057846,-0.000269,63231.14,16844.15,15194.41,95269.7
207,0.002145,0.087378,-0.004352,-14672.53,-1210.76,-4492.52,-20375.81
208,0.002846,0.050548,-0.011517,-16616.3,-740.56,-3109.91,-20466.77
209,0.002849,-0.011216,-0.012086,-23278.91,-1454.72,-2326.89,-27060.52
210,-0.006571,0.016884,0.002227,49606.07,14947.81,11388.15,75942.03
211,-0.005417,0.017043,-0.006964,36973.19,11147.48,8680.35,56801.02
212,-0.009727,0.02571,0.000851,74294.26,17330.52,18176.29,109801.07
213,-0.000826,0.104988,0.010979,7010.83,1495.27,31.81,8537.91
214,0.003114,-0.069115,-0.026726,-14960.17,-11825.62,-6057.38,-32843.17
215,-0.010491,-0.020124,0.003691,75592.5,25684.56,16416.89,117693.95
216,-0.00466,0.202628,-0.005,26364.99,7637.8,7619.46,41622.25
217,-0.003927,-0.011719,-0.000429,25732.94,5381.03,7572.29,38686.26
218,0.00121,0.024829,-0.034289,-7050.86,-8498.77,-2457.36,-18006.99
219,0.006579,0.052289,0.006689,-38414.92,-14713.68,-12466.43,-65595.03
220,0.026928,0.041358,-0.02346,-167387.97,-57943.13,-44470.26,-269801.36
221,0.000487,-0.111201,-0.003546,-3174.71,-8270.52,-799.73,-12244.96
222,-0.010134,-0.091777,0.03209,62891.47,19278.87,16271.44,98441.78
223,2.2e-05,0.088316,-0.023924,-1679.53,315.57,-1776.54,-3140.5
